Название,Жанры,Описание,Год выпуска,Постер,Рейтинг
Темный рыцарь,Триллер,Команда ищет новый дом для человечества.,2022,https://via.placeholder.com/300x450?text=No+Image,7.9
Темный рыцарь,Триллер,Римский генерал становится гладиатором.,1999,https://via.placeholder.com/300x450?text=No+Image,9.4
Бойцовский клуб,Драма,Подпольный клуб меняет сознание героя.,2015,https://via.placeholder.com/300x450?text=No+Image,8.8
Остров проклятых,"Мелодрама, Драма, Приключения",Охранник тюрьмы обнаруживает чудо.,2017,https://via.placeholder.com/300x450?text=No+Image,8.5
Крёстный отец,"Боевик, Драма",Мужчина исследует свои сны и управляет ими.,2020,https://via.placeholder.com/300x450?text=No+Image,7.4
Форрест Гамп,Боевик,Подпольный клуб меняет сознание героя.,2020,https://via.placeholder.com/300x450?text=No+Image,7.4
Престиж,"Криминал, Драма",Семейная сага о мафиозной династии.,2005,https://via.placeholder.com/300x450?text=No+Image,7.1
Побег из Шоушенка,"Криминал, Мелодрама, Боевик","История человека, оказавшегося в тюрьме по ошибке.",2015,https://via.placeholder.com/300x450?text=No+Image,9.2
Побег из Шоушенка,"Боевик, Триллер",Команда ищет новый дом для человечества.,2002,https://via.placeholder.com/300x450?text=No+Image,8.5
Бойцовский клуб,Приключения,"История человека, оказавшегося в тюрьме по ошибке.",2015,https://via.placeholder.com/300x450?text=No+Image,8.8
Темный рыцарь,"Мелодрама, Фантастика",Мужчина исследует свои сны и управляет ими.,2017,https://via.placeholder.com/300x450?text=No+Image,7.1
Остров проклятых,Фантастика,Охранник тюрьмы обнаруживает чудо.,2003,https://via.placeholder.com/300x450?text=No+Image,9.4
Бойцовский клуб,Мелодрама,Подпольный клуб меняет сознание героя.,2009,https://via.placeholder.com/300x450?text=No+Image,9.1
Темный рыцарь,"Фантастика, Приключения, Триллер",Детектив раскрывает тайну на острове.,2018,https://via.placeholder.com/300x450?text=No+Image,7.5
Побег из Шоушенка,"Драма, Криминал, Мелодрама",Герой в маске борется с преступностью.,2011,https://via.placeholder.com/300x450?text=No+Image,7.5
Начало,"Драма, Боевик",Охранник тюрьмы обнаруживает чудо.,2014,https://via.placeholder.com/300x450?text=No+Image,7.5
Начало,"Мелодрама, Фантастика","История человека, оказавшегося в тюрьме по ошибке.",1993,https://via.placeholder.com/300x450?text=No+Image,7.8
Крёстный отец,"Драма, Боевик",Команда ищет новый дом для человечества.,2019,https://via.placeholder.com/300x450?text=No+Image,8.3
Гладиатор,"Фантастика, Приключения",Подпольный клуб меняет сознание героя.,1998,https://via.placeholder.com/300x450?text=No+Image,8.1
Интерстеллар,Драма,Детектив раскрывает тайну на острове.,2010,https://via.placeholder.com/300x450?text=No+Image,7.7
Бойцовский клуб,"Приключения, Боевик",Семейная сага о мафиозной династии.,2017,https://via.placeholder.com/300x450?text=No+Image,8.5
Побег из Шоушенка,"Приключения, Боевик",Римский генерал становится гладиатором.,1993,https://via.placeholder.com/300x450?text=No+Image,7.3
Побег из Шоушенка,"Фантастика, Триллер, Мелодрама",Маги соревнуются за признание.,2003,https://via.placeholder.com/300x450?text=No+Image,7.7
Престиж,Драма,Маги соревнуются за признание.,1994,https://via.placeholder.com/300x450?text=No+Image,7.9
Гладиатор,"Мелодрама, Боевик, Фантастика",Подпольный клуб меняет сознание героя.,2004,https://via.placeholder.com/300x450?text=No+Image,8.1
Побег из Шоушенка,Приключения,Мужчина исследует свои сны и управляет ими.,1995,https://via.placeholder.com/300x450?text=No+Image,9.0
Престиж,"Фантастика, Приключения",Детектив раскрывает тайну на острове.,1992,https://via.placeholder.com/300x450?text=No+Image,7.5
Начало,"Приключения, Триллер, Боевик",Охранник тюрьмы обнаруживает чудо.,2006,https://via.placeholder.com/300x450?text=No+Image,8.3
Темный рыцарь,"Приключения, Фантастика, Драма",Герой в маске борется с преступностью.,2001,https://via.placeholder.com/300x450?text=No+Image,8.5
Престиж,Мелодрама,Команда ищет новый дом для человечества.,2018,https://via.placeholder.com/300x450?text=No+Image,7.1
Гладиатор,"Драма, Криминал","История человека, оказавшегося в тюрьме по ошибке.",1995,https://via.placeholder.com/300x450?text=No+Image,8.5
Бойцовский клуб,Приключения,Охранник тюрьмы обнаруживает чудо.,1995,https://via.placeholder.com/300x450?text=No+Image,7.4
Престиж,"Фантастика, Боевик, Криминал",Герой в маске борется с преступностью.,1992,https://via.placeholder.com/300x450?text=No+Image,7.2
Интерстеллар,"Боевик, Приключения",Команда ищет новый дом для человечества.,2023,https://via.placeholder.com/300x450?text=No+Image,9.4
Престиж,"Фантастика, Приключения, Триллер",Мужчина исследует свои сны и управляет ими.,2021,https://via.placeholder.com/300x450?text=No+Image,9.4
Остров проклятых,Боевик,"История человека, оказавшегося в тюрьме по ошибке.",2013,https://via.placeholder.com/300x450?text=No+Image,9.0
Начало,"Криминал, Боевик, Фантастика",Семейная сага о мафиозной династии.,2013,https://via.placeholder.com/300x450?text=No+Image,7.8
Зеленая миля,Фантастика,Охранник тюрьмы обнаруживает чудо.,1992,https://via.placeholder.com/300x450?text=No+Image,7.2
Остров проклятых,Боевик,Подпольный клуб меняет сознание героя.,2020,https://via.placeholder.com/300x450?text=No+Image,8.7
Крёстный отец,"Триллер, Драма",Семейная сага о мафиозной династии.,2008,https://via.placeholder.com/300x450?text=No+Image,8.1
Матрица,Боевик,Охранник тюрьмы обнаруживает чудо.,2019,https://via.placeholder.com/300x450?text=No+Image,7.3
Гладиатор,Криминал,Мужчина исследует свои сны и управляет ими.,2021,https://via.placeholder.com/300x450?text=No+Image,8.2
Интерстеллар,"Драма, Фантастика",Детектив раскрывает тайну на острове.,2022,https://via.placeholder.com/300x450?text=No+Image,7.1
Остров проклятых,"Триллер, Драма, Приключения",Подпольный клуб меняет сознание героя.,2016,https://via.placeholder.com/300x450?text=No+Image,9.3
Побег из Шоушенка,"Драма, Фантастика","История человека, оказавшегося в тюрьме по ошибке.",2020,https://via.placeholder.com/300x450?text=No+Image,7.6
Интерстеллар,Мелодрама,Семейная сага о мафиозной династии.,2010,https://via.placeholder.com/300x450?text=No+Image,8.7
Форрест Гамп,Драма,Подпольный клуб меняет сознание героя.,2021,https://via.placeholder.com/300x450?text=No+Image,7.8
Зеленая миля,Триллер,Мужчина исследует свои сны и управляет ими.,1998,https://via.placeholder.com/300x450?text=No+Image,8.3
Крёстный отец,"Боевик, Драма, Мелодрама",Герой в маске борется с преступностью.,2017,https://via.placeholder.com/300x450?text=No+Image,8.4
Престиж,"Криминал, Приключения, Триллер",Простой парень с добрым сердцем меняет мир.,2019,https://via.placeholder.com/300x450?text=No+Image,7.5
Остров проклятых,Триллер,Мужчина исследует свои сны и управляет ими.,1992,https://via.placeholder.com/300x450?text=No+Image,9.4
Интерстеллар,"Фантастика, Криминал",Мужчина исследует свои сны и управляет ими.,2001,https://via.placeholder.com/300x450?text=No+Image,8.9
Побег из Шоушенка,Криминал,Простой парень с добрым сердцем меняет мир.,2007,https://via.placeholder.com/300x450?text=No+Image,9.3
Форрест Гамп,Приключения,Детектив раскрывает тайну на острове.,1994,https://via.placeholder.com/300x450?text=No+Image,9.2
Гладиатор,"Фантастика, Криминал, Триллер",Мужчина исследует свои сны и управляет ими.,2000,https://via.placeholder.com/300x450?text=No+Image,8.5
Форрест Гамп,Мелодрама,Детектив раскрывает тайну на острове.,2012,https://via.placeholder.com/300x450?text=No+Image,9.3
Остров проклятых,Криминал,"Будущее, в котором люди живут в симуляции.",1994,https://via.placeholder.com/300x450?text=No+Image,7.2
Матрица,"Боевик, Фантастика",Мужчина исследует свои сны и управляет ими.,1995,https://via.placeholder.com/300x450?text=No+Image,7.5
Форрест Гамп,Драма,Римский генерал становится гладиатором.,2015,https://via.placeholder.com/300x450?text=No+Image,7.1
Гладиатор,"Мелодрама, Боевик",Семейная сага о мафиозной династии.,1996,https://via.placeholder.com/300x450?text=No+Image,7.8
Крёстный отец,"Мелодрама, Фантастика, Драма",Детектив раскрывает тайну на острове.,1997,https://via.placeholder.com/300x450?text=No+Image,8.0
Престиж,"Триллер, Боевик",Маги соревнуются за признание.,2010,https://via.placeholder.com/300x450?text=No+Image,7.7
Начало,"Драма, Приключения, Криминал",Герой в маске борется с преступностью.,1996,https://via.placeholder.com/300x450?text=No+Image,9.1
Остров проклятых,Криминал,Римский генерал становится гладиатором.,1994,https://via.placeholder.com/300x450?text=No+Image,7.9
Форрест Гамп,"Фантастика, Триллер",Простой парень с добрым сердцем меняет мир.,2015,https://via.placeholder.com/300x450?text=No+Image,7.7
Форрест Гамп,Драма,Герой в маске борется с преступностью.,2004,https://via.placeholder.com/300x450?text=No+Image,8.4
Зеленая миля,"Мелодрама, Фантастика, Приключения",Мужчина исследует свои сны и управляет ими.,1992,https://via.placeholder.com/300x450?text=No+Image,7.4
Зеленая миля,Фантастика,Римский генерал становится гладиатором.,2010,https://via.placeholder.com/300x450?text=No+Image,9.0
Начало,Криминал,"Будущее, в котором люди живут в симуляции.",2001,https://via.placeholder.com/300x450?text=No+Image,7.2
Крёстный отец,"Мелодрама, Триллер",Мужчина исследует свои сны и управляет ими.,1991,https://via.placeholder.com/300x450?text=No+Image,9.5
Побег из Шоушенка,Мелодрама,"Будущее, в котором люди живут в симуляции.",2007,https://via.placeholder.com/300x450?text=No+Image,8.9
Интерстеллар,"Боевик, Мелодрама",Мужчина исследует свои сны и управляет ими.,2012,https://via.placeholder.com/300x450?text=No+Image,7.5
Форрест Гамп,"Триллер, Драма, Боевик",Маги соревнуются за признание.,2021,https://via.placeholder.com/300x450?text=No+Image,7.0
Матрица,"Мелодрама, Криминал, Фантастика",Команда ищет новый дом для человечества.,2017,https://via.placeholder.com/300x450?text=No+Image,9.0
Начало,"Приключения, Драма, Триллер",Мужчина исследует свои сны и управляет ими.,2012,https://via.placeholder.com/300x450?text=No+Image,8.8
Остров проклятых,Криминал,Маги соревнуются за признание.,2002,https://via.placeholder.com/300x450?text=No+Image,8.8
Побег из Шоушенка,Боевик,"Будущее, в котором люди живут в симуляции.",2008,https://via.placeholder.com/300x450?text=No+Image,8.9
Начало,"Фантастика, Криминал",Команда ищет новый дом для человечества.,2003,https://via.placeholder.com/300x450?text=No+Image,7.2
Побег из Шоушенка,"Боевик, Триллер",Маги соревнуются за признание.,2002,https://via.placeholder.com/300x450?text=No+Image,7.9
Интерстеллар,"Приключения, Боевик, Мелодрама",Герой в маске борется с преступностью.,2018,https://via.placeholder.com/300x450?text=No+Image,7.3
Крёстный отец,"Триллер, Мелодрама, Боевик",Подпольный клуб меняет сознание героя.,2007,https://via.placeholder.com/300x450?text=No+Image,9.2
Темный рыцарь,Криминал,Маги соревнуются за признание.,2017,https://via.placeholder.com/300x450?text=No+Image,8.6
Матрица,Драма,"Будущее, в котором люди живут в симуляции.",2014,https://via.placeholder.com/300x450?text=No+Image,7.8
Бойцовский клуб,Приключения,Охранник тюрьмы обнаруживает чудо.,2019,https://via.placeholder.com/300x450?text=No+Image,7.2
Крёстный отец,Триллер,Простой парень с добрым сердцем меняет мир.,2000,https://via.placeholder.com/300x450?text=No+Image,7.8
Интерстеллар,"Фантастика, Триллер",Подпольный клуб меняет сознание героя.,2004,https://via.placeholder.com/300x450?text=No+Image,7.8
Гладиатор,"Фантастика, Драма, Триллер",Команда ищет новый дом для человечества.,1999,https://via.placeholder.com/300x450?text=No+Image,8.8
Бойцовский клуб,"Мелодрама, Криминал, Драма",Маги соревнуются за признание.,2011,https://via.placeholder.com/300x450?text=No+Image,8.6
Престиж,"Триллер, Криминал, Мелодрама",Команда ищет новый дом для человечества.,1992,https://via.placeholder.com/300x450?text=No+Image,9.2
Матрица,Фантастика,"История человека, оказавшегося в тюрьме по ошибке.",1998,https://via.placeholder.com/300x450?text=No+Image,8.2
Побег из Шоушенка,"Мелодрама, Драма",Простой парень с добрым сердцем меняет мир.,2017,https://via.placeholder.com/300x450?text=No+Image,7.3
Интерстеллар,Боевик,Команда ищет новый дом для человечества.,2019,https://via.placeholder.com/300x450?text=No+Image,8.8
Побег из Шоушенка,Криминал,Подпольный клуб меняет сознание героя.,1994,https://via.placeholder.com/300x450?text=No+Image,8.9
Гладиатор,Мелодрама,"История человека, оказавшегося в тюрьме по ошибке.",1996,https://via.placeholder.com/300x450?text=No+Image,8.4
Зеленая миля,"Мелодрама, Приключения, Криминал",Римский генерал становится гладиатором.,2017,https://via.placeholder.com/300x450?text=No+Image,8.9
Остров проклятых,"Приключения, Боевик, Триллер",Охранник тюрьмы обнаруживает чудо.,2022,https://via.placeholder.com/300x450?text=No+Image,8.2
Бойцовский клуб,"Мелодрама, Фантастика, Приключения","История человека, оказавшегося в тюрьме по ошибке.",2015,https://via.placeholder.com/300x450?text=No+Image,8.3
Престиж,Фантастика,"Будущее, в котором люди живут в симуляции.",1999,https://via.placeholder.com/300x450?text=No+Image,8.1
Побег из Шоушенка,"Боевик, Мелодрама",Детектив раскрывает тайну на острове.,2016,https://via.placeholder.com/300x450?text=No+Image,7.1
Зеленая миля,Криминал,Простой парень с добрым сердцем меняет мир.,2016,https://via.placeholder.com/300x450?text=No+Image,7.3
